year,tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Francoise Durr,Mabel Vrancovich,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Carol Sherriff,Marianne Kindler,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Julie Heldman,Patricia Montano,6-2 6-0,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Anne Marie Studer,Sally Holdsworth,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Gail Sherriff,Lubka Radkova,6-3 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Christiane Spinoza,Frances Maclennan,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Kora Schediwy,Marion Cristiani,6-2 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Anna Dmitrieva,Raquel Giscafre,6-2 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Kerry Reid,Aline Nenot,6-1 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Birgitta Lindstrom,Kazuko Sawamatsu,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Laura Rossouw,Ulla Sandulf,6-1 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Helen Gourlay,Johanne Venturino,6-4 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Annette Van Zyl,Junko Sawamatsu,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Odile De Roubin,Helen Young,6-0 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Ingrid Bentzer,Gillian Dove,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Roberta Beltrame,Ann Phillips Moore,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Judy Congdon,Faye Urban,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Nicole Niox Chateau,Eugenia Isopaitis,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Ilse Buding,Monica Giorgi,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Galina Baksheeva,Eva Lundquist,7-5 3-6 8-6,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Karen Krantzcke,Maylis Burel,6-1 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Olga Morozova,Greta Delport,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Christina Sandberg,Suzanne Schmitt,6-1 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Nancy Richey,Maria Cristina Borba Dias,6-0 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Chantal Langanay,Judith Dibar,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Kerry Harris,Carmen Coronado,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Daniele Bouteleux,Judith Szorenyi,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Elena Subirats,Suzana Gesteira,6-2 6-4,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Maria Chakarova,Janine Lieffrig,13-11 8-6,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Janine Mauroy Toffier,Alenka Pipan,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Ingrid Loeys,Eva Szabo,6-2 6-4,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R128,3,Rosie Casals,Maria Jose Aubet,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Ann Jones,Irene Fraisse,6-1 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Maryna Godwin,Irena Skulj,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Edda Buding,Esme Emmanuel,6-2 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Fay Toyne,Jitka Horcickova,5-7 6-3 6-3,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Vlasta Kodesova,Claudine Rouire,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Carol Ann Kalogeropoulos,Fiorella Bonicelli,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Paola Palacios,Lea Pericoli,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Rosie Reyes,Christina Lindstrom,6-1 6-0,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Francoise Durr,Carol Sherriff,6-1 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Julie Heldman,Anne Marie Studer,6-2 6-3,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Gail Sherriff,Christiane Spinoza,6-1 6-0,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Anna Dmitrieva,Kora Schediwy,2-6 6-2 8-6,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Kerry Reid,Birgitta Lindstrom,6-0 6-4,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Helen Gourlay,Laura Rossouw,6-3 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Annette Van Zyl,Odile De Roubin,6-3 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Ingrid Bentzer,Roberta Beltrame,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Nicole Niox Chateau,Judy Congdon,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Galina Baksheeva,Ilse Buding,6-2 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Karen Krantzcke,Olga Morozova,6-3 4-6 6-4,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Nancy Richey,Christina Sandberg,6-2 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Kerry Harris,Chantal Langanay,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Elena Subirats,Daniele Bouteleux,6-2 6-3,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Janine Mauroy Toffier,Maria Chakarova,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Rosie Casals,Ingrid Loeys,6-1 6-3,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Virginia Caceres,Evelyne Terras,7-5 6-4,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Patricia Walkden,Martha Wolf Peterdy,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Michelle Rodriguez,Helen Amos,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Maria Bueno,Dionissia Asteri,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Francesca Gordigiani,Sandra Hole,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Lesley Hunt,Monique Salfati,5-7 6-2 6-3,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Margarita De Zuleta,Yulia Berberian,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R64,3,Billie Jean King,Anne Marie Larue,6-2 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Ann Jones,Maryna Godwin,6-2 6-0,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Edda Buding,Fay Toyne,4-6 6-1 7-5,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Vlasta Kodesova,Carol Ann Kalogeropoulos,6-1 6-0,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Rosie Reyes,Paola Palacios,6-2 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Francoise Durr,Julie Heldman,6-1 7-5,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Gail Sherriff,Anna Dmitrieva,6-3 6-0,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Kerry Reid,Helen Gourlay,7-5 6-4,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Annette Van Zyl,Ingrid Bentzer,7-5 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Galina Baksheeva,Nicole Niox Chateau,6-3 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Nancy Richey,Karen Krantzcke,6-4 5-7 8-6,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Elena Subirats,Kerry Harris,6-1 6-1,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Rosie Casals,Janine Mauroy Toffier,W/O,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Patricia Walkden,Virginia Caceres,7-5 6-2,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Maria Bueno,Michelle Rodriguez,6-2 6-0,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Lesley Hunt,Francesca Gordigiani,6-1 7-5,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R32,3,Billie Jean King,Margarita De Zuleta,6-1 6-0,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R16,3,Ann Jones,Edda Buding,6-2 6-4,,,,
1968,Roland Garros,Grand Slam,1968/5/27,Clay,R16,3,Vlasta Kodesova,Rosie Reyes,7-9 6-2 6-1,,,,
